Ticker,current_price,adtv_20,volatility_30,ma200,momentum_6m,rsi_14,PE,PB,Div_Yield,EV_EBITDA,ROE,ROA,ROIC,DE,Gross_Margin,Net_Margin,OCF_NI,Rev_Growth,Net_Inc_Growth,EPS_Growth,Z_Valuation,Z_Quality,Z_Growth,Z_Momentum,Quant_Score
ABS,3.1,348925.0,0.5832764928814658,3.0263,0.09929078014184406,49.998541709200154,,,,,,,,,,,1.0,,,,,,0.0,-0.5231369985420962,
ACB,22.15,14225355.0,0.22959006762989126,21.18395,0.11755802219979809,47.61883597977658,,,,,,,,,,,1.0,,,,,,0.0,0.04926694414464444,
ASP,11.4,344285.0,0.4888043285626682,6.3841,1.4152542372881358,56.1795985360945,,,,,,,,,,,1.0,,,,,,0.0,1.3908142625785627,
BAF,31.5,1904925.0,0.16469248529477662,29.541150000000002,0.012210796915167063,79.77502992125414,,,,,,,,,,,1.0,,,,,,0.0,0.008291393089577215,
BWE,44.2,201484.35,0.1294182664643519,43.428149999999995,0.02671312427410002,55.55538271658712,,,,,,,,,,,1.0,,,,,,0.0,0.08241148871141157,
CDC,19.4,166545.0,0.22366610715932497,17.83125,0.2004950495049504,71.9995968022579,,,,,,,,,,,1.0,,,,,,0.0,0.1698449147437013,
DXP,14.1,246205.0,0.3263050901528635,12.5265,0.1652892561983471,66.66635555700739,,,,,,,,,,,1.0,,,,,,0.0,-0.03643357989834255,
GMD,78.7,1392220.0,0.2774797144027939,70.18105,0.14057971014492757,81.37243733194882,,,,,,,,,,,1.0,,,,,,0.0,0.006007841585349033,
HCM,25.2,5215415.2,0.33358199896916296,21.674850000000003,0.2817904374364191,52.08318142405417,,,,,,,,,,,1.0,,,,,,0.0,0.10877960799367045,
HDB,26.45,10721145.0,0.26128564660250925,26.173099999999998,-0.013059701492537367,62.92115036042583,,,,,,,,,,,1.0,,,,,,0.0,-0.17527684171180008,
HNG,6.7,2082095.0,0.30928691261468155,6.4910000000000005,0.08064516129032258,66.66562964576103,,,,,,,,,,,1.0,,,,,,0.0,-0.12376667245929046,
LPB,52.4,3286585.0,0.3031226726792333,45.67,0.3265822784810126,42.30763535510625,,,,,,,,,,,1.0,,,,,,0.0,0.21612644280377902,
MPT,0.8,173435.0,1.452564263378617,0.6655,-0.11111111111111108,66.66355570073397,,,,,,,,,,,1.0,,,,,,0.0,-2.1522942965025753,
MSB,16.15,6727645.0,0.14370536054006358,13.329,0.36864406779660996,65.21659736316246,,,,,,,,,,,1.0,,,,,,0.0,0.5195647141093929,
MST,10.1,2643520.0,0.43123576680553527,7.669,0.6557377049180328,59.99958000293997,,,,,,,,,,,1.0,,,,,,0.0,0.4598007793540169,
